track_id,track_name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
1Wwh6gmMeolwzbRzfZMY5b,Ready For Love,BORN PINK,BLACKPINK,2022-09-15,184677,57,0.568,0.0133,0.727,0.0,0.118,-5.512,0.106,107.564,4
0tSDqQOK8EgoRxYXWkP5rR,NOT OK (Feat. MINNIE),WEAK,Loco,2023-10-17,197291,44,0.752,0.338,0.57,0.0,0.293,-8.034,0.0488,133.018,4
4aQx3giaLD2sybftDoxI6l,Boyz With Fun,"The Most Beautiful Moment In Life, Pt.1",BTS,2015-09-16,245413,0,0.699,0.0761,0.959,0.0,0.341,-2.709,0.188,116.013,4
3LUkaacGXrVcn8jo29Vymi,I′m Sorry,"Alchemy of Souls: Light and Shadow, Pt. 3 (Original Television Soundtrack)",AILEE,2023-01-01,256173,51,0.439,0.408,0.564,0.0,0.108,-6.711,0.0408,131.715,4
6x8n37GW7g5X2a0duYysCt,I Miss You,Queendom < Box of Pandora > Pt. 1,(G)I-DLE,2019-10-18,262586,30,0.584,0.391,0.573,0.0,0.094,-3.919,0.0328,115.913,4
288ryQQCqObCzKzlXf6FG3,체온 Between Us,Between Us,LABOUM,2018-07-28,223011,33,0.717,0.116,0.776,0.0,0.152,-3.068,0.0391,104.998,4
6KyafpXji3NKMmlmSokT9Y,Don’t,The Hyena on the Keyboard Pt. 4,Loco,2018-04-21,231654,0,0.85,0.552,0.488,0.0,0.127,-7.052,0.0689,92.023,4
1MtbRyRbGe4qXMSNN999iI,Mcguffins ~ who’s the Joker?,the Billage of perception: chapter two,Billlie,2022-08-31,203551,33,0.748,0.0879,0.929,1.02e-05,0.0354,-2.924,0.108,145.942,4
1v4Jh705vsTcn74IMDNa4s,Take My Breath,Candy - Winter Special Mini Album,NCT DREAM,2022-12-16,180986,46,0.737,0.247,0.632,0.0,0.305,-3.406,0.0437,90.008,4
6SN7iLZdFMGQvI1t7bQKlM,"Wheee (Prod. Young K, Sanghyun Nah)","Wheee (Prod. Young K, Sanghyun Nah)",Whee In,2024-02-15,179426,38,0.416,0.0125,0.942,1.61e-05,0.144,-2.354,0.109,170.001,4
2XVtXrEu5C8V38u22Xt2Yy,On My Youth,On My Youth - The 2nd Album,WayV,2023-11-01,212720,54,0.672,0.18,0.664,0.0,0.159,-4.645,0.0442,93.037,4
24ISyrkOgpc0IodIEUokog,yours,yours,데이먼스 이어 Damons year,2019-04-10,165229,50,0.483,0.657,0.47,0.0,0.189,-6.365,0.0318,109.251,4
6hDCyfYxpPdsPufg2ap1RH,Volcano,NCT RESONANCE Pt. 1 - The 2nd Album,NCT,2020-10-12,228693,31,0.855,0.0589,0.711,8.97e-06,0.105,-5.871,0.101,100.037,4
